section,table_name,column_name,data_type,is_nullable,column_default,?column?
COLUMNS,app_group_links,group_id,uuid,NO,null,null
COLUMNS,app_group_links,app_id,uuid,NO,null,null
COLUMNS,app_user_links,user_id,uuid,NO,null,null
COLUMNS,app_user_links,app_id,uuid,NO,null,null
COLUMNS,apps,route,text,NO,null,null
COLUMNS,apps,icon,text,YES,null,null
COLUMNS,apps,name,text,NO,null,null
COLUMNS,apps,id,uuid,NO,gen_random_uuid(),null
COLUMNS,groups,created_at,timestamp with time zone,YES,now(),null
COLUMNS,groups,id,uuid,NO,gen_random_uuid(),null
COLUMNS,groups,name,text,NO,null,null
COLUMNS,groups,description,text,YES,null,null
COLUMNS,groups,is_archived,boolean,YES,false,null
COLUMNS,groups,parent_group_id,uuid,YES,null,null
COLUMNS,meta_schema_overview,columns,jsonb,YES,null,null
COLUMNS,meta_schema_overview,table_name,name,YES,null,null
COLUMNS,meta_schema_overview,schema,name,YES,null,null
COLUMNS,meta_schema_overview,table_size,text,YES,null,null
COLUMNS,meta_schema_overview,rls_policies,jsonb,YES,null,null
COLUMNS,meta_schema_overview,rls_enabled,boolean,YES,null,null
COLUMNS,meta_schema_overview,indexes,jsonb,YES,null,null
COLUMNS,meta_schema_overview,foreign_keys,jsonb,YES,null,null
COLUMNS,meta_schema_overview,primary_keys,jsonb,YES,null,null
COLUMNS,periods,id,uuid,NO,gen_random_uuid(),null
COLUMNS,periods,name,text,NO,null,null
COLUMNS,periods,sort_order,integer,YES,null,null
COLUMNS,roles,name,text,NO,null,null
COLUMNS,roles,id,uuid,NO,gen_random_uuid(),null
COLUMNS,task_categories,parent_id,uuid,YES,null,null
COLUMNS,task_categories,name,text,NO,null,null
COLUMNS,task_categories,id,uuid,NO,gen_random_uuid(),null
COLUMNS,task_categories,sort_order,integer,YES,0,null
COLUMNS,task_categories,is_archived,boolean,YES,false,null
COLUMNS,task_categories,created_at,timestamp with time zone,YES,now(),null
COLUMNS,task_categories,group_id,uuid,NO,null,null
COLUMNS,task_category_links,task_id,uuid,NO,null,null
COLUMNS,task_category_links,category_id,uuid,NO,null,null
COLUMNS,task_category_map,category_id,uuid,NO,null,null
COLUMNS,task_category_map,task_id,uuid,NO,null,null
COLUMNS,task_context_assignees,task_context_id,uuid,NO,null,null
COLUMNS,task_context_assignees,assignee_id,uuid,NO,null,null
COLUMNS,task_context_assignees,assignee_type,text,NO,null,null
COLUMNS,task_contexts,created_at,timestamp with time zone,YES,now(),null
COLUMNS,task_contexts,category_id,uuid,YES,null,null
COLUMNS,task_contexts,yacht_id,uuid,YES,null,null
COLUMNS,task_contexts,task_id,uuid,YES,null,null
COLUMNS,task_contexts,id,uuid,NO,gen_random_uuid(),null
COLUMNS,task_results,id,uuid,NO,gen_random_uuid(),null
COLUMNS,task_results,result_status,text,YES,null,null
COLUMNS,task_results,result_value,text,YES,null,null
COLUMNS,task_results,performed_by,uuid,YES,null,null
COLUMNS,task_results,task_context_id,uuid,YES,null,null
COLUMNS,task_results,performed_at,timestamp with time zone,YES,now(),null
COLUMNS,task_results,remarks,text,YES,null,null
COLUMNS,tasks,period_id,uuid,YES,null,null
COLUMNS,tasks,id,uuid,NO,gen_random_uuid(),null
COLUMNS,tasks,unit_of_measure_id,uuid,YES,null,null
COLUMNS,tasks,created_at,timestamp with time zone,YES,now(),null
COLUMNS,tasks,default_period_id,uuid,YES,null,null
COLUMNS,tasks,default_unit_of_measure_id,uuid,YES,null,null
COLUMNS,tasks,lineage_id,uuid,YES,null,null
COLUMNS,tasks,version,integer,NO,1,null
COLUMNS,tasks,is_latest,boolean,NO,true,null
COLUMNS,tasks,superseded_at,timestamp with time zone,YES,null,null
COLUMNS,tasks,description,text,YES,null,null
COLUMNS,tasks,name,text,NO,null,null
COLUMNS,units_of_measure,unit_type,text,NO,null,null
COLUMNS,units_of_measure,id,uuid,NO,gen_random_uuid(),null
COLUMNS,units_of_measure,name,text,NO,null,null
COLUMNS,user_group_links,user_id,uuid,NO,null,null
COLUMNS,user_group_links,group_id,uuid,NO,null,null
COLUMNS,user_role_links,role_id,uuid,NO,null,null
COLUMNS,user_role_links,user_id,uuid,NO,null,null
COLUMNS,users,id,uuid,NO,null,null
COLUMNS,users,display_name,text,YES,null,null
COLUMNS,users,email,text,YES,null,null
COLUMNS,users,last_login,timestamp with time zone,YES,null,null
COLUMNS,users,created_at,timestamp with time zone,YES,now(),null
COLUMNS,yacht_group_links,yacht_id,uuid,NO,null,null
COLUMNS,yacht_group_links,group_id,uuid,NO,null,null
COLUMNS,yacht_task_results,id,uuid,NO,gen_random_uuid(),null
COLUMNS,yacht_task_results,yacht_task_id,uuid,NO,null,null
COLUMNS,yacht_task_results,value,numeric,YES,null,null
COLUMNS,yacht_task_results,recorded_at,timestamp with time zone,YES,now(),null
COLUMNS,yacht_task_results,recorded_by,uuid,YES,null,null
COLUMNS,yacht_tasks,group_id,uuid,NO,null,null
COLUMNS,yacht_tasks,yacht_id,uuid,NO,null,null
COLUMNS,yacht_tasks,created_at,timestamp with time zone,YES,now(),null
COLUMNS,yacht_tasks,position,integer,YES,null,null
COLUMNS,yacht_tasks,id,uuid,NO,gen_random_uuid(),null
COLUMNS,yacht_tasks,active,boolean,YES,true,null
COLUMNS,yacht_tasks,unit_of_measure_id,uuid,NO,null,null
COLUMNS,yacht_tasks,period_id,uuid,YES,null,null
COLUMNS,yacht_tasks,task_id,uuid,NO,null,null
COLUMNS,yacht_user_links,yacht_id,uuid,NO,null,null
COLUMNS,yacht_user_links,user_id,uuid,NO,null,null
COLUMNS,yachts,name,text,NO,null,null
COLUMNS,yachts,make_model,text,YES,null,null
COLUMNS,yachts,location,text,YES,null,null
COLUMNS,yachts,created_at,timestamp with time zone,YES,now(),null
COLUMNS,yachts,latest_engineer_hours,numeric,YES,null,null
COLUMNS,yachts,photo_url,text,YES,null,null
COLUMNS,yachts,id,uuid,NO,gen_random_uuid(),null
CONSTRAINTS,app_group_links,2200_17728_2_not_null,CHECK,null,null,null
CONSTRAINTS,app_group_links,app_group_links_pkey,PRIMARY KEY,app_id,app_group_links,null
CONSTRAINTS,app_group_links,2200_17728_1_not_null,CHECK,null,null,null
CONSTRAINTS,app_group_links,app_group_links_group_id_fkey,FOREIGN KEY,group_id,groups,null
CONSTRAINTS,app_group_links,app_group_links_app_id_fkey,FOREIGN KEY,app_id,apps,null
CONSTRAINTS,app_group_links,app_group_links_pkey,PRIMARY KEY,app_id,app_group_links,null
CONSTRAINTS,app_group_links,app_group_links_pkey,PRIMARY KEY,group_id,app_group_links,null
CONSTRAINTS,app_group_links,app_group_links_pkey,PRIMARY KEY,group_id,app_group_links,null
CONSTRAINTS,app_user_links,app_user_links_pkey,PRIMARY KEY,app_id,app_user_links,null
CONSTRAINTS,app_user_links,app_user_links_app_id_fkey,FOREIGN KEY,app_id,apps,null
CONSTRAINTS,app_user_links,2200_17713_2_not_null,CHECK,null,null,null
CONSTRAINTS,app_user_links,2200_17713_1_not_null,CHECK,null,null,null
CONSTRAINTS,app_user_links,app_user_links_user_id_fkey,FOREIGN KEY,user_id,users,null
CONSTRAINTS,app_user_links,app_user_links_pkey,PRIMARY KEY,user_id,app_user_links,null
CONSTRAINTS,app_user_links,app_user_links_pkey,PRIMARY KEY,user_id,app_user_links,null
CONSTRAINTS,app_user_links,app_user_links_pkey,PRIMARY KEY,app_id,app_user_links,null
CONSTRAINTS,apps,2200_17705_4_not_null,CHECK,null,null,null
CONSTRAINTS,apps,2200_17705_1_not_null,CHECK,null,null,null
CONSTRAINTS,apps,apps_pkey,PRIMARY KEY,id,apps,null
CONSTRAINTS,apps,2200_17705_2_not_null,CHECK,null,null,null
CONSTRAINTS,groups,groups_parent_group_id_fkey,FOREIGN KEY,parent_group_id,groups,null
CONSTRAINTS,groups,2200_17523_1_not_null,CHECK,null,null,null
CONSTRAINTS,groups,2200_17523_2_not_null,CHECK,null,null,null
CONSTRAINTS,groups,groups_pkey,PRIMARY KEY,id,groups,null
CONSTRAINTS,periods,periods_pkey,PRIMARY KEY,id,periods,null
CONSTRAINTS,periods,2200_17601_2_not_null,CHECK,null,null,null
CONSTRAINTS,periods,2200_17601_1_not_null,CHECK,null,null,null
CONSTRAINTS,periods,periods_name_unique,UNIQUE,name,periods,null
CONSTRAINTS,roles,2200_17498_2_not_null,CHECK,null,null,null
CONSTRAINTS,roles,roles_pkey,PRIMARY KEY,id,roles,null
CONSTRAINTS,roles,roles_name_key,UNIQUE,name,roles,null
CONSTRAINTS,roles,2200_17498_1_not_null,CHECK,null,null,null
CONSTRAINTS,task_categories,task_categories_parent_id_fkey,FOREIGN KEY,parent_id,task_categories,null
CONSTRAINTS,task_categories,task_categories_pkey,PRIMARY KEY,id,task_categories,null
CONSTRAINTS,task_categories,2200_20144_2_not_null,CHECK,null,null,null
CONSTRAINTS,task_categories,2200_20144_3_not_null,CHECK,null,null,null
CONSTRAINTS,task_categories,2200_20144_1_not_null,CHECK,null,null,null
CONSTRAINTS,task_category_links,task_category_links_pkey,PRIMARY KEY,task_id,task_category_links,null
CONSTRAINTS,task_category_links,task_category_links_task_id_fkey,FOREIGN KEY,task_id,tasks,null
CONSTRAINTS,task_category_links,task_category_links_pkey,PRIMARY KEY,category_id,task_category_links,null
CONSTRAINTS,task_category_links,2200_17636_2_not_null,CHECK,null,null,null
CONSTRAINTS,task_category_links,2200_17636_1_not_null,CHECK,null,null,null
CONSTRAINTS,task_category_links,task_category_links_pkey,PRIMARY KEY,category_id,task_category_links,null
CONSTRAINTS,task_category_links,task_category_links_pkey,PRIMARY KEY,task_id,task_category_links,null
CONSTRAINTS,task_category_map,task_category_map_pkey,PRIMARY KEY,category_id,task_category_map,null
CONSTRAINTS,task_category_map,task_category_map_task_id_fkey,FOREIGN KEY,task_id,tasks,null
CONSTRAINTS,task_category_map,2200_20054_2_not_null,CHECK,null,null,null
CONSTRAINTS,task_category_map,2200_20054_1_not_null,CHECK,null,null,null
CONSTRAINTS,task_category_map,task_category_map_pkey,PRIMARY KEY,task_id,task_category_map,null
CONSTRAINTS,task_category_map,task_category_map_pkey,PRIMARY KEY,task_id,task_category_map,null
CONSTRAINTS,task_category_map,task_category_map_pkey,PRIMARY KEY,category_id,task_category_map,null
CONSTRAINTS,task_context_assignees,task_context_assignees_pkey,PRIMARY KEY,task_context_id,task_context_assignees,null
CONSTRAINTS,task_context_assignees,task_context_assignees_pkey,PRIMARY KEY,assignee_type,task_context_assignees,null
