section,a1,a2,a3,a4,a5,a6,a7
COLUMNS,auth,amr_id_pk,id,uuid,YES,null,null
COLUMNS,auth,audit_log_entries,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,audit_log_entries,id,uuid,NO,null,null
COLUMNS,auth,audit_log_entries,instance_id,uuid,YES,null,null
COLUMNS,auth,audit_log_entries,ip_address,character varying(64),NO,''::character varying,null
COLUMNS,auth,audit_log_entries,payload,json,YES,null,null
COLUMNS,auth,audit_log_entries_pkey,id,uuid,YES,null,null
COLUMNS,auth,audit_logs_instance_id_idx,instance_id,uuid,YES,null,null
COLUMNS,auth,confirmation_token_idx,confirmation_token,character varying(255),YES,null,null
COLUMNS,auth,email_change_token_current_idx,email_change_token_current,character varying(255),YES,null,null
COLUMNS,auth,email_change_token_new_idx,email_change_token_new,character varying(255),YES,null,null
COLUMNS,auth,factor_id_created_at_idx,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,factor_id_created_at_idx,user_id,uuid,YES,null,null
COLUMNS,auth,flow_state,auth_code,text,YES,null,null
COLUMNS,auth,flow_state,auth_code_issued_at,timestamp with time zone,YES,null,null
COLUMNS,auth,flow_state,authentication_method,text,NO,null,null
COLUMNS,auth,flow_state,code_challenge,text,YES,null,null
COLUMNS,auth,flow_state,code_challenge_method,auth.code_challenge_method,YES,null,null
COLUMNS,auth,flow_state,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,flow_state,email_optional,boolean,NO,false,null
COLUMNS,auth,flow_state,id,uuid,NO,null,null
COLUMNS,auth,flow_state,invite_token,text,YES,null,null
COLUMNS,auth,flow_state,linking_target_id,uuid,YES,null,null
COLUMNS,auth,flow_state,oauth_client_state_id,uuid,YES,null,null
COLUMNS,auth,flow_state,provider_access_token,text,YES,null,null
COLUMNS,auth,flow_state,provider_refresh_token,text,YES,null,null
COLUMNS,auth,flow_state,provider_type,text,NO,null,null
COLUMNS,auth,flow_state,referrer,text,YES,null,null
COLUMNS,auth,flow_state,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,flow_state,user_id,uuid,YES,null,null
COLUMNS,auth,flow_state_created_at_idx,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,flow_state_pkey,id,uuid,YES,null,null
COLUMNS,auth,identities,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,identities,email,text,YES,lower((identity_data ->> 'email'::text)),GENERATED
COLUMNS,auth,identities,id,uuid,NO,gen_random_uuid(),null
COLUMNS,auth,identities,identity_data,jsonb,NO,null,null
COLUMNS,auth,identities,last_sign_in_at,timestamp with time zone,YES,null,null
COLUMNS,auth,identities,provider,text,NO,null,null
COLUMNS,auth,identities,provider_id,text,NO,null,null
COLUMNS,auth,identities,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,identities,user_id,uuid,NO,null,null
COLUMNS,auth,identities_email_idx,email,text,YES,null,null
COLUMNS,auth,identities_pkey,id,uuid,YES,null,null
COLUMNS,auth,identities_provider_id_provider_unique,provider,text,YES,null,null
COLUMNS,auth,identities_provider_id_provider_unique,provider_id,text,YES,null,null
COLUMNS,auth,identities_user_id_idx,user_id,uuid,YES,null,null
COLUMNS,auth,idx_auth_code,auth_code,text,YES,null,null
COLUMNS,auth,idx_oauth_client_states_created_at,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,idx_user_id_auth_method,authentication_method,text,YES,null,null
COLUMNS,auth,idx_user_id_auth_method,user_id,uuid,YES,null,null
COLUMNS,auth,instances,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,instances,id,uuid,NO,null,null
COLUMNS,auth,instances,raw_base_config,text,YES,null,null
COLUMNS,auth,instances,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,instances,uuid,uuid,YES,null,null
COLUMNS,auth,instances_pkey,id,uuid,YES,null,null
COLUMNS,auth,mfa_amr_claims,authentication_method,text,NO,null,null
COLUMNS,auth,mfa_amr_claims,created_at,timestamp with time zone,NO,null,null
COLUMNS,auth,mfa_amr_claims,id,uuid,NO,null,null
COLUMNS,auth,mfa_amr_claims,session_id,uuid,NO,null,null
COLUMNS,auth,mfa_amr_claims,updated_at,timestamp with time zone,NO,null,null
COLUMNS,auth,mfa_amr_claims_session_id_authentication_method_pkey,authentication_method,text,YES,null,null
COLUMNS,auth,mfa_amr_claims_session_id_authentication_method_pkey,session_id,uuid,YES,null,null
COLUMNS,auth,mfa_challenge_created_at_idx,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,mfa_challenges,created_at,timestamp with time zone,NO,null,null
COLUMNS,auth,mfa_challenges,factor_id,uuid,NO,null,null
COLUMNS,auth,mfa_challenges,id,uuid,NO,null,null
COLUMNS,auth,mfa_challenges,ip_address,inet,NO,null,null
COLUMNS,auth,mfa_challenges,otp_code,text,YES,null,null
COLUMNS,auth,mfa_challenges,verified_at,timestamp with time zone,YES,null,null
COLUMNS,auth,mfa_challenges,web_authn_session_data,jsonb,YES,null,null
COLUMNS,auth,mfa_challenges_pkey,id,uuid,YES,null,null
COLUMNS,auth,mfa_factors,created_at,timestamp with time zone,NO,null,null
COLUMNS,auth,mfa_factors,factor_type,auth.factor_type,NO,null,null
COLUMNS,auth,mfa_factors,friendly_name,text,YES,null,null
COLUMNS,auth,mfa_factors,id,uuid,NO,null,null
COLUMNS,auth,mfa_factors,last_challenged_at,timestamp with time zone,YES,null,null
COLUMNS,auth,mfa_factors,last_webauthn_challenge_data,jsonb,YES,null,null
COLUMNS,auth,mfa_factors,phone,text,YES,null,null
COLUMNS,auth,mfa_factors,secret,text,YES,null,null
COLUMNS,auth,mfa_factors,status,auth.factor_status,NO,null,null
COLUMNS,auth,mfa_factors,updated_at,timestamp with time zone,NO,null,null
COLUMNS,auth,mfa_factors,user_id,uuid,NO,null,null
COLUMNS,auth,mfa_factors,web_authn_aaguid,uuid,YES,null,null
COLUMNS,auth,mfa_factors,web_authn_credential,jsonb,YES,null,null
COLUMNS,auth,mfa_factors_last_challenged_at_key,last_challenged_at,timestamp with time zone,YES,null,null
COLUMNS,auth,mfa_factors_pkey,id,uuid,YES,null,null
COLUMNS,auth,mfa_factors_user_friendly_name_unique,friendly_name,text,YES,null,null
COLUMNS,auth,mfa_factors_user_friendly_name_unique,user_id,uuid,YES,null,null
COLUMNS,auth,mfa_factors_user_id_idx,user_id,uuid,YES,null,null
COLUMNS,auth,oauth_auth_pending_exp_idx,expires_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_authorizations,approved_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_authorizations,authorization_code,text,YES,null,null
COLUMNS,auth,oauth_authorizations,authorization_id,text,NO,null,null
COLUMNS,auth,oauth_authorizations,client_id,uuid,NO,null,null
COLUMNS,auth,oauth_authorizations,code_challenge,text,YES,null,null
COLUMNS,auth,oauth_authorizations,code_challenge_method,auth.code_challenge_method,YES,null,null
COLUMNS,auth,oauth_authorizations,created_at,timestamp with time zone,NO,now(),null
COLUMNS,auth,oauth_authorizations,expires_at,timestamp with time zone,NO,(now() + '00:03:00'::interval),null
COLUMNS,auth,oauth_authorizations,id,uuid,NO,null,null
COLUMNS,auth,oauth_authorizations,nonce,text,YES,null,null
COLUMNS,auth,oauth_authorizations,redirect_uri,text,NO,null,null
COLUMNS,auth,oauth_authorizations,resource,text,YES,null,null
COLUMNS,auth,oauth_authorizations,response_type,auth.oauth_response_type,NO,'code'::auth.oauth_response_type,null
COLUMNS,auth,oauth_authorizations,scope,text,NO,null,null
COLUMNS,auth,oauth_authorizations,state,text,YES,null,null
COLUMNS,auth,oauth_authorizations,status,auth.oauth_authorization_status,NO,'pending'::auth.oauth_authorization_status,null
COLUMNS,auth,oauth_authorizations,user_id,uuid,YES,null,null
COLUMNS,auth,oauth_authorizations_authorization_code_key,authorization_code,text,YES,null,null
COLUMNS,auth,oauth_authorizations_authorization_id_key,authorization_id,text,YES,null,null
COLUMNS,auth,oauth_authorizations_pkey,id,uuid,YES,null,null
COLUMNS,auth,oauth_client_states,code_verifier,text,YES,null,null
COLUMNS,auth,oauth_client_states,created_at,timestamp with time zone,NO,null,null
COLUMNS,auth,oauth_client_states,id,uuid,NO,null,null
COLUMNS,auth,oauth_client_states,provider_type,text,NO,null,null
COLUMNS,auth,oauth_client_states_pkey,id,uuid,YES,null,null
COLUMNS,auth,oauth_clients,client_name,text,YES,null,null
COLUMNS,auth,oauth_clients,client_secret_hash,text,YES,null,null
COLUMNS,auth,oauth_clients,client_type,auth.oauth_client_type,NO,'confidential'::auth.oauth_client_type,null
COLUMNS,auth,oauth_clients,client_uri,text,YES,null,null
COLUMNS,auth,oauth_clients,created_at,timestamp with time zone,NO,now(),null
COLUMNS,auth,oauth_clients,deleted_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_clients,grant_types,text,NO,null,null
COLUMNS,auth,oauth_clients,id,uuid,NO,null,null
COLUMNS,auth,oauth_clients,logo_uri,text,YES,null,null
COLUMNS,auth,oauth_clients,redirect_uris,text,NO,null,null
COLUMNS,auth,oauth_clients,registration_type,auth.oauth_registration_type,NO,null,null
COLUMNS,auth,oauth_clients,token_endpoint_auth_method,text,NO,null,null
COLUMNS,auth,oauth_clients,updated_at,timestamp with time zone,NO,now(),null
COLUMNS,auth,oauth_clients_deleted_at_idx,deleted_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_clients_pkey,id,uuid,YES,null,null
COLUMNS,auth,oauth_consents,client_id,uuid,NO,null,null
COLUMNS,auth,oauth_consents,granted_at,timestamp with time zone,NO,now(),null
COLUMNS,auth,oauth_consents,id,uuid,NO,null,null
COLUMNS,auth,oauth_consents,revoked_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_consents,scopes,text,NO,null,null
COLUMNS,auth,oauth_consents,user_id,uuid,NO,null,null
COLUMNS,auth,oauth_consents_active_client_idx,client_id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_active_user_client_idx,client_id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_active_user_client_idx,user_id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_pkey,id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_user_client_unique,client_id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_user_client_unique,user_id,uuid,YES,null,null
COLUMNS,auth,oauth_consents_user_order_idx,granted_at,timestamp with time zone,YES,null,null
COLUMNS,auth,oauth_consents_user_order_idx,user_id,uuid,YES,null,null
COLUMNS,auth,one_time_tokens,created_at,timestamp without time zone,NO,now(),null
COLUMNS,auth,one_time_tokens,id,uuid,NO,null,null
COLUMNS,auth,one_time_tokens,relates_to,text,NO,null,null
COLUMNS,auth,one_time_tokens,token_hash,text,NO,null,null
COLUMNS,auth,one_time_tokens,token_type,auth.one_time_token_type,NO,null,null
COLUMNS,auth,one_time_tokens,updated_at,timestamp without time zone,NO,now(),null
COLUMNS,auth,one_time_tokens,user_id,uuid,NO,null,null
COLUMNS,auth,one_time_tokens_pkey,id,uuid,YES,null,null
COLUMNS,auth,one_time_tokens_relates_to_hash_idx,relates_to,integer,YES,null,null
COLUMNS,auth,one_time_tokens_token_hash_hash_idx,token_hash,integer,YES,null,null
COLUMNS,auth,one_time_tokens_user_id_token_type_key,token_type,auth.one_time_token_type,YES,null,null
COLUMNS,auth,one_time_tokens_user_id_token_type_key,user_id,uuid,YES,null,null
COLUMNS,auth,reauthentication_token_idx,reauthentication_token,character varying(255),YES,null,null
COLUMNS,auth,recovery_token_idx,recovery_token,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens,created_at,timestamp with time zone,YES,null,null
COLUMNS,auth,refresh_tokens,id,bigint,NO,nextval('auth.refresh_tokens_id_seq'::regclass),null
COLUMNS,auth,refresh_tokens,instance_id,uuid,YES,null,null
COLUMNS,auth,refresh_tokens,parent,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens,revoked,boolean,YES,null,null
COLUMNS,auth,refresh_tokens,session_id,uuid,YES,null,null
COLUMNS,auth,refresh_tokens,token,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens,updated_at,timestamp with time zone,YES,null,null
COLUMNS,auth,refresh_tokens,user_id,character varying(255),YES,null,null
COLUMNS,auth,refresh_tokens_id_seq,is_called,boolean,NO,null,null
COLUMNS,auth,refresh_tokens_id_seq,last_value,bigint,NO,null,null
COLUMNS,auth,refresh_tokens_id_seq,log_cnt,bigint,NO,null,null
